# phiref ra dec tc mc q costheta_jn psi logdistance spin1 spin2 logL
2.594938023318928977e+00 5.649593958974333807e-01 -8.430711232119272869e-02 1.186302519752061367e+09 3.519745310925168980e+01 6.874158645742365348e-01 -5.171899176666955311e-01 2.428155066466305190e+00 6.750384862075208936e+00 4.779331816307519909e-01 4.989081567505566084e-01 -1.495595999999999913e+04
4.844964207537468814e-01 5.026898729624833528e-01 -4.921140540132465935e-01 1.186302519750291824e+09 3.293068055607751887e+01 9.752099488570911134e-01 9.154035516914311721e-01 2.783453245469466264e+00 7.086498171918362843e+00 6.524396465812525303e-01 3.181700994899915036e-02 -1.495592000000000007e+04
1.697368443416030770e+00 3.906737718840229689e-01 -2.363100312971022909e-01 1.186302519752319336e+09 3.907125823224568961e+01 7.090073672155090545e-01 -8.816694498692334570e-01 1.844490289928185422e+00 7.476466960472081702e+00 6.198052347790151684e-01 6.188273698243468290e-01 -1.495589999999999964e+04
3.735281110543674288e+00 2.356686383432452514e-01 -3.467910615891691140e-01 1.186302519752406597e+09 3.701813536321055409e+01 6.159085987330404910e-01 -9.992718581638253550e-01 7.766912908134373517e-01 7.658440400487736888e+00 4.836079141425382311e-01 6.620104728726281529e-01 -1.495587000000000080e+04
3.462421839061258666e+00 4.735272656124870361e-01 -3.182008548693685546e-01 1.186302519750666142e+09 3.216496591319139498e+01 3.923753557575739292e-01 -6.243592055495594817e-01 3.946715740970258013e-01 6.768933615332437981e+00 4.870936275831042606e-01 1.649924517112822675e-01 -1.495580999999999949e+04
3.998987778028138429e+00 4.167081908604561291e-01 -1.644157141552385348e-01 1.186302519757511854e+09 3.303867726302200225e+01 8.946819678825986832e-01 -6.474428978811109792e-01 2.519533203233610963e-01 7.274701357787623834e+00 1.396780843652413451e-01 6.783087031862075067e-01 -1.495575000000000000e+04
2.756523630578051609e+00 3.730274312884391263e-01 -3.045540947019995670e-01 1.186302519753917456e+09 3.424384401173304582e+01 6.765172697411518943e-01 -8.475238604656064600e-01 2.077736162904539441e+00 7.391153612719661758e+00 5.223514714653177959e-01 3.111564556320601804e-01 -1.495570999999999913e+04
5.603975494650765832e+00 4.609026427313749341e-01 -2.841047024040079805e-01 1.186302519751487732e+09 3.634605941768567305e+01 9.033674480070884583e-01 -8.042101251360705971e-01 1.840269602977159025e+00 7.261268419029145882e+00 7.756685510170731046e-01 3.313894807446633450e-01 -1.495565999999999985e+04
1.178582500735647409e+00 2.598826666105275573e-01 -3.864664476427475126e-01 1.186302519751932859e+09 3.407538024217089401e+01 9.385107844934499344e-01 -8.942800861573378945e-01 1.438023563165574226e+00 7.219107219030671985e+00 1.187378578599950635e-01 5.391824079486047250e-01 -1.495561000000000058e+04
5.425694027822044463e-01 2.879039804066251262e-01 -2.613955860188026392e-01 1.186302519754048586e+09 3.119774707690203996e+01 4.141739886668820980e-01 -9.541969005167186824e-01 6.311121598713921310e-01 7.402244631693957189e+00 3.270162251026036970e-01 4.008638395312483782e-01 -1.495551000000000022e+04
2.229837269779793019e+00 3.982406563663388188e-01 -1.751125904140044542e-01 1.186302519753901005e+09 3.319225242128533893e+01 4.736739647167629297e-01 -8.078026624045413495e-01 1.847897238550571419e+00 7.188767155634103290e+00 4.619303571661813601e-01 4.603569397948756303e-01 -1.495551000000000022e+04
3.396875508991841652e+00 3.758946158244653724e-01 -5.290954421172645583e-01 1.186302519750585318e+09 3.032122685030869036e+01 5.883416997251480485e-01 -9.175930676919279438e-01 2.476911360658848871e+00 7.148737196927717363e+00 2.630402828928514181e-01 2.595937305652500360e-01 -1.495550000000000000e+04
4.589905408471028458e+00 2.279509090061736520e-01 -3.173740924330519242e-01 1.186302519752429485e+09 3.188101646005322820e+01 6.066469595453468644e-01 -9.386564495037601485e-01 1.936407506303233550e+00 7.353780784759432976e+00 3.968401446302838309e-03 6.392873262437746007e-01 -1.495543000000000029e+04
1.497669327208015488e-01 7.216061724761524410e-01 -2.007008585727023189e-02 1.186302519753206015e+09 3.213187475802891413e+01 9.763360880262822450e-01 9.672613477009683880e-01 2.875738424185562803e+00 7.007118639472669663e+00 3.295207002574701005e-01 1.753473728446986457e-01 -1.495536000000000058e+04
1.200953110555724956e+00 4.369756578309563766e-01 -4.114537053618022577e-01 1.186302519750714064e+09 3.187800460348053022e+01 7.394136201352385918e-01 -7.408201084793814006e-01 1.165025363229851285e+00 7.137675742399569145e+00 2.954555989483294565e-01 5.440976313948134996e-02 -1.495534000000000015e+04
3.641122603557652160e-01 6.375007780986097217e-01 -1.339171092757099335e-02 1.186302519754658937e+09 2.988762241753380167e+01 8.418131242446472706e-01 -9.454911585326850609e-01 1.053553492092227095e-01 7.118126954501523329e+00 1.293934613763967623e-01 9.065989340135720276e-02 -1.495531999999999971e+04
5.089701560917688106e+00 4.172375452630412429e-01 -1.462623436948133904e-01 1.186302519753099442e+09 3.365524388768023556e+01 4.632583148534409889e-01 -9.837974484266261976e-01 2.682441410478100252e+00 7.381755920333173293e+00 3.439897001992148207e-01 4.559600582255952106e-01 -1.495525000000000000e+04
7.073308111367930806e-01 3.032980454213600741e-01 -2.367501539513965358e-01 1.186302519754031181e+09 3.303636686805722888e+01 8.668149505005862121e-01 -9.322714608777195044e-01 7.994740955584217490e-01 7.237652708728060880e+00 2.026881553471458763e-01 3.472860648928124960e-01 -1.495523999999999978e+04
2.097413757413557178e+00 3.271138173106289404e-01 -5.180806965503664818e-01 1.186302519750781059e+09 3.059435405682900111e+01 8.937772636476079002e-01 -6.126114381144934784e-01 8.675897156472412997e-01 6.771915166836423694e+00 4.068152922250876657e-01 5.253599359186174322e-02 -1.495515999999999985e+04
2.477863242322031478e+00 4.388248795415813919e-01 -1.739637241475595342e-01 1.186302519753792286e+09 3.023913269594211783e+01 5.197730103680315850e-01 -9.774549184622779441e-01 2.640538188119607277e+00 7.550400643306010906e+00 1.151843587231701077e-01 2.947292059121729424e-01 -1.495514999999999964e+04
4.946926136012081088e+00 3.425611020478028790e-01 -3.067460263546692989e-01 1.186302519754184484e+09 3.616528565805320028e+01 9.442505035117920720e-01 -8.749847977333458093e-01 1.069653515232918739e+00 7.378554566106462431e+00 4.882746467489960107e-01 6.724181304670481252e-01 -1.495512999999999920e+04
5.943297878345829233e+00 3.082153243844105162e-01 -3.984993047342652583e-01 1.186302519752198219e+09 3.655748621329870218e+01 7.951329085193166168e-01 -4.213568214639960008e-01 2.842435950289142532e+00 7.101076843166281627e+00 7.912776114456397947e-01 7.716526500211344508e-02 -1.495506999999999971e+04
4.209577718039202665e+00 2.553801936892417523e-01 -3.114520145702584508e-01 1.186302519752362251e+09 3.150769378400010012e+01 5.720415095911417502e-01 -9.446310252537153396e-01 1.539861123633106788e+00 7.478470960631157460e+00 9.312031340373760901e-02 3.796210244065743589e-01 -1.495500000000000000e+04
4.178503625106825936e+00 3.849709399191403314e-01 -3.408013493416139905e-01 1.186302519750952244e+09 3.535575529277737417e+01 6.727464964287863669e-01 -7.085371067572980852e-01 5.490366871623860723e-01 7.109489266242392524e+00 6.252656866481168807e-01 3.768474954016885481e-01 -1.495495000000000073e+04
1.769796573093303182e+00 5.064181029238484788e-01 -1.033410276839829695e-01 1.186302519753506422e+09 3.311481862453171487e+01 9.476594757312957196e-01 -2.587087985795966105e-01 2.089881070824341158e+00 6.082703615974116573e+00 3.565967984421715767e-04 5.125681654822173972e-01 -1.495490999999999985e+04
9.732400315961987902e-02 3.121135340802151381e-01 -2.838956395664986032e-01 1.186302519754158258e+09 3.366308122978978190e+01 9.840581650434039318e-01 -7.417479497213799178e-01 2.890275569507419373e+00 7.260381475072620994e+00 1.613711106771822945e-01 6.651497589546324640e-01 -1.495486000000000058e+04
4.667162972766297102e+00 4.843590916725015183e-01 -2.148243359873363290e-01 1.186302519752726555e+09 3.413637366282961239e+01 6.733880858045325768e-01 -4.071590426386260120e-01 1.543261005529315888e+00 6.942787992568832500e+00 1.880745299563579831e-01 7.727250729066437174e-01 -1.495486000000000058e+04
2.947270308836374753e+00 3.343144737020946611e-01 -4.583004509576485974e-01 1.186302519750854969e+09 3.131097724048453301e+01 5.617854226121368200e-01 1.292458767220270310e-01 2.850457259727964932e+00 6.702537422245232968e+00 3.779374450855093603e-01 6.991985712703593925e-02 -1.495482999999999993e+04
1.811662257340084015e+00 3.256786242768199280e-01 -2.216703548681861757e-01 1.186302519753829956e+09 3.390523386198532307e+01 6.474348475515030454e-01 -9.043342511323791966e-01 1.987667517819278640e+00 7.366631016075981364e+00 2.804115290746914679e-01 3.960966042857070324e-01 -1.495482999999999993e+04
3.239501448153951912e+00 2.471140645648947642e-01 -4.242952046981265379e-01 1.186302519750295639e+09 3.937530302671603266e+01 6.867961925244200350e-01 -4.913844324185175361e-01 4.871277529720245969e-01 6.885370397277959853e+00 7.320248660192407719e-01 3.816833593713517270e-01 -1.495480999999999949e+04
4.488089059166683548e+00 5.310387305339601127e-01 -1.967465348249636814e-01 1.186302519754635811e+09 3.109075833647953147e+01 8.777825080390967427e-01 -8.190493646023577767e-01 4.332805197963384147e-01 6.940505125902384442e+00 3.604638013059355273e-01 8.822445906795269022e-02 -1.495480999999999949e+04
1.275420459782338645e+00 7.414643187720766360e-01 4.651096343250533949e-02 1.186302519753885508e+09 3.381984160280133267e+01 7.461149944558045366e-01 7.286388579519447184e-01 1.766965010807438397e+00 6.944933087625618562e+00 4.121773436489052367e-01 3.098265930682415625e-01 -1.495479000000000087e+04
4.879749828905743492e+00 2.447130040711687493e-01 -4.305144486045677232e-01 1.186302519752742767e+09 3.433351653428699990e+01 8.234694943931928357e-01 -7.642531622867269059e-01 8.671697119143424448e-01 7.039846409933039340e+00 6.759188116927741241e-01 2.786777235826438659e-01 -1.495477000000000044e+04
6.627876181823756374e-01 5.159412092060705612e-01 -4.312069082908681072e-01 1.186302519750219822e+09 3.367717229943803403e+01 7.569858196663969974e-01 9.879671699395732309e-01 2.335765178713523849e+00 7.098549821368318469e+00 3.049606894247050559e-01 5.512415019688762241e-01 -1.495476000000000022e+04
2.006512164982779289e+00 5.756857903563273871e-01 -2.766586277512327330e-01 1.186302519751558065e+09 3.193715793776344469e+01 6.513835628649667919e-01 9.521802297940148430e-01 6.213685091952643180e-01 6.963087450377046572e+00 3.896855054022476672e-01 5.136011888129137642e-02 -1.495476000000000022e+04
1.521772337805803232e+00 3.682243569448247489e-01 -2.738891166166470548e-01 1.186302519754129648e+09 2.978680739828611479e+01 6.630858931255925182e-01 -7.963385705483099208e-01 9.211406205801797586e-01 7.374657482091640404e+00 1.135111857830374549e-02 4.104778324643064691e-01 -1.495473999999999978e+04
5.958973115389383679e+00 2.106804147782284364e-01 -5.662629854031119292e-01 1.186302519750259399e+09 3.247671383358917296e+01 7.386733680677292080e-01 -3.866387488777586756e-01 2.578751628964381926e+00 6.804995744145074354e+00 4.057986023161309075e-01 1.501141460754671086e-01 -1.495473999999999978e+04
1.944417238583049157e+00 4.338396603695891529e-01 -3.632561202774823861e-01 1.186302519752205849e+09 3.188815386922961537e+01 9.467160570603577741e-01 -9.597520942558877000e-01 1.252020654988754922e+00 7.122308484838806741e+00 1.964513692247895071e-01 3.904787311514343329e-01 -1.495471999999999935e+04
4.335824158555160679e+00 7.444655137520976851e-01 1.974569578838958339e-02 1.186302519753699303e+09 3.073222883696693231e+01 6.748504029963837691e-01 -9.127704485132084322e-01 9.099663724893326533e-01 7.091912546689947305e+00 3.037673915050226880e-01 3.831729250267498776e-02 -1.495468000000000029e+04
